Time,Target Motor Position,Motor Position,Motor Velocity,Motor Applied Torque,Motor calculated Torque,Ankle Position,Ankle Velocity,Ankle Applied Torque,Ankle Calculated Torque,Kp,Kd
0.0,0.0,-1.037333774434046e-07,1.3382954193730257e-06,0.0,0.0,9.439190762350336e-08,-3.031298774658353e-06,0.0,0.0,2000.0,5.0
0.004166666666666667,0.0,-1.037333774434046e-07,4.399988756631501e-05,0.00018612890562508255,0.00018612890562508255,9.439190762350336e-08,-4.114169314561877e-06,0.00010436898446641862,0.00010436898446641862,2000.0,5.0
0.008333333333333333,0.0,-1.037333774434046e-07,4.1595376387704164e-05,1.959493602043949e-06,1.959493602043949e-06,9.439190762350336e-08,-9.314862836617976e-07,0.0001585125137353316,0.0001585125137353316,2000.0,5.0
0.0125,0.0,-1.037333774434046e-07,4.1493574826745316e-05,-3.2997053267536103e-07,-3.2997053267536103e-07,9.439190762350336e-08,-9.036186838784488e-07,-6.216396286617965e-07,-6.216396286617965e-07,2000.0,5.0
0.016666666666666666,0.0,-1.037333774434046e-07,4.148972584516741e-05,-2.5108640500093315e-08,-2.5108640500093315e-08,9.439190762350336e-08,-9.0898515736626e-07,-2.0150182535871863e-06,-2.0150182535871863e-06,2000.0,5.0
0.020833333333333332,0.0,-1.037333774434046e-07,4.1490675357636064e-05,1.497175894371594e-08,1.497175894371594e-08,9.439190762350336e-08,-9.096624467019865e-07,-1.74669548869133e-06,-1.74669548869133e-06,2000.0,5.0
0.024999999999999998,0.0,-1.037333774434046e-07,4.149066808167845e-05,1.3494354966780975e-08,1.3494354966780975e-08,9.439190762350336e-08,-9.096293638322095e-07,-1.7128331819549203e-06,-1.7128331819549203e-06,2000.0,5.0
0.029166666666666664,0.0,-1.037333774434046e-07,4.149066808167845e-05,1.3420305755573736e-08,1.3420305755573736e-08,9.439190762350336e-08,-9.096314670387073e-07,-1.71448482433334e-06,-1.71448482433334e-06,2000.0,5.0
0.03333333333333333,0.0,-1.037333774434046e-07,4.149066808167845e-05,1.341490385442512e-08,1.341490385442512e-08,9.439190762350336e-08,-9.096340818359749e-07,-1.7143793229479343e-06,-1.7143793229479343e-06,2000.0,5.0
0.0375,0.0,-1.037333774434046e-07,4.1490660805720836e-05,1.3414509503206773e-08,1.3414509503206773e-08,9.439190762350336e-08,-9.096293069887906e-07,-1.714248355710879e-06,-1.714248355710879e-06,2000.0,5.0
0.041666666666666664,0.0,-1.037333774434046e-07,4.149067171965726e-05,1.3448206992450196e-08,1.3448206992450196e-08,9.439190762350336e-08,-9.096384019358084e-07,-1.714488462312147e-06,-1.714488462312147e-06,2000.0,5.0
