Time,Target Motor Position,Motor Position,Motor Velocity,Motor Applied Torque,Motor calculated Torque,Ankle Position,Ankle Velocity,Ankle Applied Torque,Ankle Calculated Torque,Kp,Kd
0.0,0.0,-1.037333774434046e-07,1.1455304047558457e-06,0.0,0.0,9.439190762350336e-08,-2.594676971057197e-06,0.0,0.0,10.0,0.9
0.008333333333333333,0.0,-1.037333774434046e-07,3.064975999222952e-06,6.356410064967122e-09,6.356410064967122e-09,9.439190762350336e-08,-4.62638627141132e-06,-6.844513791293139e-06,-6.844513791293139e-06,10.0,0.9
0.016666666666666666,0.0,-1.037333774434046e-07,2.9678071769012604e-06,6.356410064967122e-09,6.356410064967122e-09,9.439190762350336e-08,-4.520029051491292e-06,-4.8128044909390155e-06,-4.8128044909390155e-06,10.0,0.9
0.025,0.0,-1.037333774434046e-07,2.874736765079433e-06,-1.6336927046722849e-06,-1.6336927046722849e-06,9.439190762350336e-08,-5.241325197857805e-06,-4.9191617108590435e-06,-4.9191617108590435e-06,10.0,0.9
0.03333333333333333,0.0,-1.037333774434046e-07,2.065840590148582e-06,-1.6336927046722849e-06,-1.6336927046722849e-06,9.439190762350336e-08,-5.2035557018825784e-06,-4.197865564492531e-06,-4.197865564492531e-06,10.0,0.9
0.041666666666666664,0.0,-1.037333774434046e-07,1.3447653373077628e-06,-8.219227538575069e-07,-8.219227538575069e-07,9.439190762350336e-08,-4.8512597459193785e-06,-4.235635060467757e-06,-4.235635060467757e-06,10.0,0.9
0.049999999999999996,0.0,-1.037333774434046e-07,9.73424903349951e-07,-8.219227538575069e-07,-8.219227538575069e-07,9.439190762350336e-08,-4.86969747726107e-06,-4.587931016430957e-06,-4.587931016430957e-06,10.0,0.9
0.05833333333333333,0.0,-1.037333774434046e-07,6.44665988147608e-07,1.612513642612612e-07,1.612513642612612e-07,9.439190762350336e-08,-4.439661552169127e-06,-4.5694932850892656e-06,-4.5694932850892656e-06,10.0,0.9
0.06666666666666667,0.0,-1.037333774434046e-07,7.427361765621754e-07,1.612513642612612e-07,1.612513642612612e-07,9.439190762350336e-08,-4.462174274522113e-06,-4.999529210181208e-06,-4.999529210181208e-06,10.0,0.9
0.075,0.0,-1.037333774434046e-07,8.312944714816695e-07,3.6887121268591727e-07,3.6887121268591727e-07,9.439190762350336e-08,-4.370390797703294e-06,-4.977016487828223e-06,-4.977016487828223e-06,10.0,0.9
0.08333333333333333,0.0,-1.037333774434046e-07,1.0109296226801234e-06,3.6887121268591727e-07,3.6887121268591727e-07,9.439190762350336e-08,-4.375196567707462e-06,-5.068799964647042e-06,-5.068799964647042e-06,10.0,0.9
