Frequency,PositionIterations,VelocityIterations,WallTime,RMSE_Pistoning (suspension_slide),RMSE_Angle_X,RMSE_Angle_Y,RMSE_Angle_Z,RMSE_Global
1200,4,4,3.260009,0.00031161256977392423,0.002172570211961117,0.00029562099236329393,0.0011826285654987032,2.398660823700077
1200,4,8,3.96769,0.00016553364255777672,0.0020907226023825338,0.0007830739976076788,0.0011618410065978918,2.375065127012832
1200,8,1,3.79432,0.0001569973162117601,0.0014333100014059913,0.00012015092862254055,0.000639758742208357,1.322084844553916
1200,8,4,4.27047,0.00015241246747059746,0.0014060039092042163,0.00011807297045173059,0.0006486932290817929,1.335133578972652
1200,8,8,5.080709,0.00018874333897913575,0.0014347261032283995,0.00041986394959733455,0.0006690683731809299,1.3904840037329633
1200,16,1,5.674527,9.028405905398226e-05,0.0010651133620956776,0.00010198360524463673,0.0003884573245687514,0.8266874548784162
1200,16,4,6.180118,7.896222285550958e-05,0.001030793352102647,7.591987925904936e-05,0.00038482943796884104,0.814863139406739
1200,16,8,6.884074,7.35178562485538e-05,0.0010145668088274778,0.0001018688572462103,0.0003854169692172551,0.8143704389189744
1200,32,1,9.141995,6.440637312646067e-05,0.0007992608623230889,0.00011144007628089092,0.0002611639612593345,0.5688546003780632
1200,32,4,9.475613,6.290098290305605e-05,0.0007637806365925096,8.408417406637563e-05,0.0002500653960457327,0.543562898456848
1200,32,8,10.168554,4.392252115461943e-05,0.0007384148405305701,7.176214775865546e-05,0.0002464200116593198,0.5327283455492711
1920,4,1,4.334424,7.212053927470766e-05,0.0015123386897288903,5.841203100981623e-05,0.000708989021823459,5.075681083921956
1920,4,4,5.304315,8.397537813415263e-05,0.0014806583645782842,5.418686156449735e-05,0.0007164930730694957,5.126924316884991
1920,4,8,6.135751,9.001038761787459e-05,0.0014732243268611074,8.178505670676914e-05,0.000719720901621296,5.175800811874933
1920,8,1,5.880862,4.885543577649673e-05,0.0010980446299325105,3.956197838863987e-05,0.0004235780128685127,3.127431182685837
1920,8,4,6.704787,4.978387042726125e-05,0.0010344645245245424,3.121794659659397e-05,0.0004074251300241878,2.9988362473809382
1920,8,8,8.1534,5.026584016351394e-05,0.0010189712859014679,2.3025803154751216e-05,0.0004016708288183665,2.954286159514074
1920,16,1,9.137937,3.345112869840131e-05,0.0008459178106595708,4.049689546508237e-05,0.0002736175611370866,2.1041689815920708
1920,16,4,10.150655,3.519776505096723e-05,0.0007754129416536628,3.890831322886723e-05,0.0002563928963694139,1.9710315185821703
1920,16,8,10.861789,3.746194459128678e-05,0.0007274107861024883,2.7355155355607544e-05,0.00024797551247102313,1.892053388580363
1920,32,1,14.423173,2.1522927176908588e-05,0.0005475130140978643,3.912006077011978e-05,0.00017258045773555742,1.3538322872114947
1920,32,4,15.133826,2.1950984880525138e-05,0.0005067140128528791,3.488041650541215e-05,0.0001628059743525287,1.2718255546981148
1920,32,8,16.025575,2.3430285605528303e-05,0.0004657057354949836,2.6658601441718184e-05,0.00015812151814652723,1.2159341501556387
4800,4,1,11.007691,0.004467321794719604,0.007001298849548392,0.005593379962485113,0.0038491961335991283,0.9861976778112983
4800,4,4,12.945359,0.0027470161884675516,0.003869729219458206,0.005620991135140744,0.0023151655256210967,0.62763055827169
4800,4,8,15.742046,0.0023010933047604293,0.002550254581773474,0.005901741019841561,0.002447802776634064,0.5504882684398259
4800,8,1,14.818012,0.000962173538853769,0.0017722457947640868,0.00281970968940514,0.0024280747094467124,0.35688684560662126
4800,8,4,16.994245,0.0009750706659246878,0.0014903096878920263,0.002609760050654294,0.0016477247001722853,0.28751271347454066
4800,8,8,20.225926,0.001088194329071908,0.0013909489788152473,0.003257861405471778,0.0013043890584785367,0.29054758250497087
4800,16,1,22.840111,0.0004151730283214856,0.0007450311073793812,0.001309925865741795,0.0014487125129333403,0.186284445706371
4800,16,4,24.51192,0.0002045554001707303,0.0005163281085096637,0.0009658102612978157,0.0010403570968664534,0.13110547050973415
4800,16,8,27.325191,0.0002868378230890869,0.0005215503225828957,0.0010027656130808383,0.0005590551170464452,0.09971191219792026
4800,32,1,36.424333,0.0003720256902986724,0.0005084760697737834,0.0006337947966989502,0.00045839535484951024,0.08785021877797289
4800,32,4,37.572194,0.00019445875282386548,0.0002714501441680513,0.0003698997382684136,0.00032509711914467627,0.05221027907544225
4800,32,8,39.625223,0.0,0.0,0.0,0.0,0.0
