tag,freq_hz,dt,pos_iters,vel_iters,n_ok,n_total,mean_wall_time_sec,std_wall_time_sec,movement_csv
grid,1200,0.0008333333333333334,8,1,5,5,3.794320,0.101244,movement_freq1200hz_pos8_vel1.csv
grid,1200,0.0008333333333333334,8,4,5,5,4.270470,0.168335,movement_freq1200hz_pos8_vel4.csv
grid,1200,0.0008333333333333334,8,8,5,5,5.080709,0.160294,movement_freq1200hz_pos8_vel8.csv
grid,1200,0.0008333333333333334,16,1,5,5,5.674527,0.254511,movement_freq1200hz_pos16_vel1.csv
grid,1200,0.0008333333333333334,16,4,5,5,6.180118,0.200248,movement_freq1200hz_pos16_vel4.csv
grid,1200,0.0008333333333333334,16,8,5,5,6.884074,0.193040,movement_freq1200hz_pos16_vel8.csv
grid,1200,0.0008333333333333334,32,1,5,5,9.141995,0.154279,movement_freq1200hz_pos32_vel1.csv
grid,1200,0.0008333333333333334,32,4,5,5,9.475613,0.100329,movement_freq1200hz_pos32_vel4.csv
grid,1200,0.0008333333333333334,32,8,5,5,10.168554,0.053751,movement_freq1200hz_pos32_vel8.csv
grid,1920,0.0005208333333333333,4,1,5,5,4.334424,0.138827,movement_freq1920hz_pos4_vel1.csv
grid,1920,0.0005208333333333333,4,4,5,5,5.304315,0.315921,movement_freq1920hz_pos4_vel4.csv
grid,1920,0.0005208333333333333,4,8,5,5,6.135751,0.129602,movement_freq1920hz_pos4_vel8.csv
grid,1920,0.0005208333333333333,8,1,5,5,5.880862,0.207718,movement_freq1920hz_pos8_vel1.csv
grid,1920,0.0005208333333333333,8,4,5,5,6.704787,0.123236,movement_freq1920hz_pos8_vel4.csv
grid,1920,0.0005208333333333333,8,8,5,5,8.153400,0.304976,movement_freq1920hz_pos8_vel8.csv
grid,1920,0.0005208333333333333,16,1,5,5,9.137937,0.470999,movement_freq1920hz_pos16_vel1.csv
grid,1920,0.0005208333333333333,16,4,5,5,10.150655,0.567074,movement_freq1920hz_pos16_vel4.csv
grid,1920,0.0005208333333333333,16,8,5,5,10.861789,0.276650,movement_freq1920hz_pos16_vel8.csv
grid,1920,0.0005208333333333333,32,1,5,5,14.423173,0.232917,movement_freq1920hz_pos32_vel1.csv
grid,1920,0.0005208333333333333,32,4,5,5,15.133826,0.282889,movement_freq1920hz_pos32_vel4.csv
grid,1920,0.0005208333333333333,32,8,5,5,16.025575,0.170838,movement_freq1920hz_pos32_vel8.csv
grid,4800,0.00020833333333333335,4,1,5,5,11.007691,0.220249,movement_freq4800hz_pos4_vel1.csv
grid,4800,0.00020833333333333335,4,4,5,5,12.945359,0.319312,movement_freq4800hz_pos4_vel4.csv
grid,4800,0.00020833333333333335,4,8,5,5,15.742046,0.361365,movement_freq4800hz_pos4_vel8.csv
grid,4800,0.00020833333333333335,8,1,5,5,14.818012,0.510124,movement_freq4800hz_pos8_vel1.csv
grid,4800,0.00020833333333333335,8,4,5,5,16.994245,0.831167,movement_freq4800hz_pos8_vel4.csv
grid,4800,0.00020833333333333335,8,8,5,5,20.225926,0.312124,movement_freq4800hz_pos8_vel8.csv
grid,4800,0.00020833333333333335,16,1,5,5,22.840111,0.615202,movement_freq4800hz_pos16_vel1.csv
grid,4800,0.00020833333333333335,16,4,5,5,24.511920,0.290964,movement_freq4800hz_pos16_vel4.csv
grid,4800,0.00020833333333333335,16,8,5,5,27.325191,0.680423,movement_freq4800hz_pos16_vel8.csv
grid,4800,0.00020833333333333335,32,1,5,5,36.424333,0.406351,movement_freq4800hz_pos32_vel1.csv
grid,4800,0.00020833333333333335,32,4,5,5,37.572194,0.306793,movement_freq4800hz_pos32_vel4.csv
grid,4800,0.00020833333333333335,32,8,5,5,39.625223,0.506420,movement_freq4800hz_pos32_vel8.csv
