Time,Pistoning (suspension_slide),Angle_X,Angle_Y,Angle_Z
0.002777777777777778,0.00012926102499477565,0.0004997521173208952,-7.386930519714952e-05,-0.00017560366541147232
0.005555555555555556,0.00012111572868889198,0.0007538114441558719,-0.00015980700845830142,-0.00027107258210889995
0.008333333333333333,0.00011312967399135232,0.0009956901194527745,-0.00024147478688973933,-0.00036332334275357425
0.011111111111111112,0.00010532444139244035,0.0012263490352779627,-0.0003188720147591084,-0.0004526912234723568
0.01388888888888889,9.771213080966845e-05,0.0014452752657234669,-0.00039203462074510753,-0.0005386945558711886
0.016666666666666666,9.041421435540542e-05,0.0016536577604711056,-0.0004618949315045029,-0.0006219359347596765
0.019444444444444445,8.330510900123045e-05,0.0018526868661865592,-0.0005279710167087615,-0.000701658136676997
0.022222222222222223,7.63844873290509e-05,0.002041362691670656,-0.0005898994277231395,-0.0007785938796587288
0.025,6.966220098547637e-05,0.0022207158617675304,-0.0006487580831162632,-0.0008524504373781383
0.02777777777777778,6.313517224043608e-05,0.002391307381913066,-0.0007053010631352663,-0.0009222812368534505
0.030555555555555558,5.681085167452693e-05,0.0025548054836690426,-0.0007592873298563063,-0.0009894747054204345
0.03333333333333333,5.0682017899816856e-05,0.002711251610890031,-0.0008101293351501226,-0.001054578460752964
0.03611111111111111,4.4740863813785836e-05,0.0028578878846019506,-0.0008570593199692667,-0.0011170244542881846
0.03888888888888888,3.8991012843325734e-05,0.0029997744131833315,-0.0009020231664180756,-0.001177479512989521
0.04166666666666666,3.3421300031477585e-05,0.00313228415325284,-0.0009444263414479792,-0.0012339064851403236
0.04444444444444443,2.8014726922265254e-05,0.003260228084400296,-0.0009859803831204772,-0.0012882130686193705
0.04722222222222221,2.2778438506065868e-05,0.0033836434595286846,-0.0010262924479320645,-0.001340927672572434
0.04999999999999998,1.768391484802123e-05,0.003498816629871726,-0.0010634355712682009,-0.0013907849788665771
0.05277777777777776,1.2728541150863748e-05,0.0036087073385715485,-0.00109916424844414,-0.001437952509149909
0.05555555555555553,7.900477612565737e-06,0.00371530931442976,-0.0011330670677125454,-0.001485113170929253
0.058333333333333307,3.5399327771301614e-06,0.003807730507105589,-0.0011570218484848738,-0.0015319969970732927
0.06111111111111108,-7.142693334571959e-07,0.0038947281427681446,-0.0011795272585004568,-0.0015751388855278492
0.06388888888888886,-4.45004570792662e-06,0.0039644185453653336,-0.0012028258061036468,-0.0016200916143134236
0.06666666666666664,-8.018643711693585e-06,0.0040296162478625774,-0.0012252540327608585,-0.0016627553850412369
0.06944444444444442,-1.1409450962673873e-05,0.004090973176062107,-0.0012458208948373795,-0.0017028053989633918
0.0722222222222222,-1.4750486116099637e-05,0.004150368273258209,-0.0012654329184442759,-0.0017414800822734833
0.07499999999999998,-1.80336555786198e-05,0.004207911901175976,-0.0012843244476243854,-0.0017778583569452167
0.07777777777777777,-2.096207026625052e-05,0.004261225461959839,-0.001302044722251594,-0.0018117917934432626
0.08055555555555555,-2.39017499552574e-05,0.004311808850616217,-0.0013181973481550813,-0.0018449026392772794
0.08333333333333333,-2.6616229661158286e-05,0.004360903985798359,-0.0013334730174392462,-0.0018762635299935937
0.08611111111111111,-2.923245119745843e-05,0.004393623676151037,-0.0013390895910561085,-0.001909797778353095
0.08888888888888889,-3.1663144909543917e-05,0.004425003658980131,-0.0013444392243400216,-0.0019410228123888373
0.09166666666666667,-3.4067277738358825e-05,0.004452715627849102,-0.0013495763996616006,-0.0019678242970257998
0.09444444444444446,-3.6496741813607514e-05,0.0044789742678403854,-0.0013538162456825376,-0.0019939569756388664
0.09722222222222224,-3.8701353332726285e-05,0.004504104144871235,-0.0013581030070781708,-0.0020189795177429914
0.10000000000000002,-4.088880814379081e-05,0.0045290240086615086,-0.001362208160571754,-0.0020434053149074316
0.1027777777777778,-4.3056064896518365e-05,0.004553171340376139,-0.0013660723343491554,-0.002066600602120161
0.10555555555555558,-4.5244276407174766e-05,0.004577621351927519,-0.0013693876098841429,-0.002089837798848748
0.10833333333333336,-4.7413141146535054e-05,0.004600286018103361,-0.0013729133643209934,-0.0021110842935740948
0.11111111111111115,-4.956129123456776e-05,0.0046209851279854774,-0.0013755487743765116,-0.0021294942125678062
0.11388888888888893,-5.173658428248018e-05,0.004640459548681974,-0.0013786066556349397,-0.002147157909348607
0.11666666666666671,-5.388903809944168e-05,0.004659340251237154,-0.0013814487028867006,-0.0021644847001880407
0.11944444444444449,-5.5854292440926656e-05,0.00467831501737237,-0.0013838482555001974,-0.0021819828543812037
0.12222222222222227,-5.7805547839961946e-05,0.004696452058851719,-0.0013864743523299694,-0.002198549220338464
0.12500000000000006,-5.973664883640595e-05,0.0047050644643604755,-0.0013919174671173096,-0.0022179207298904657
