Time,Pistoning (suspension_slide),Angle_X,Angle_Y,Angle_Z,Mean_Wall_Time_Sec
0.00020833333333333335,2.5550748432578985e-06,6.300755921984091e-05,1.4298154837888433e-06,-1.3094742826069705e-05,12.945359
0.0004166666666666667,3.1292790936277015e-06,8.897509542293847e-05,3.5745099467021646e-06,-1.958643588295672e-05,12.945359
0.000625,3.6843430279986933e-06,0.00011431106395320967,5.512754796654917e-06,-2.5754661692189984e-05,12.945359
0.0008333333333333334,4.228022135066567e-06,0.00014006423589307815,7.533979442087002e-06,-3.210197974112816e-05,12.945359
0.0010416666666666667,4.766249730892014e-06,0.0001646865130169317,9.583571227267385e-06,-3.82673206331674e-05,12.945359
0.00125,5.299382337398129e-06,0.00018954792176373303,1.1452235412434675e-05,-4.466632890398614e-05,12.945359
0.0014583333333333334,5.827309450978646e-06,0.0002139877324225381,1.3232938727014698e-05,-5.085354860057123e-05,12.945359
0.0016666666666666668,6.349323484755587e-06,0.0002382800739724189,1.5127138794923667e-05,-5.7135177485179156e-05,12.945359
0.0018750000000000001,6.868376203783555e-06,0.0002620381710585207,1.7228510841960087e-05,-6.323941488517448e-05,12.945359
0.0020833333333333333,7.3868263825715985e-06,0.00028567417757585645,1.9031172996619716e-05,-6.928225047886372e-05,12.945359
0.0022916666666666667,7.89669320511166e-06,0.0003093080304097384,2.101551763189491e-05,-7.505578105337918e-05,12.945359
0.0025,8.40407119540032e-06,0.00033306406112387776,2.2973690647631884e-05,-8.092476491583511e-05,12.945359
0.0027083333333333334,8.907449227990583e-06,0.00035640285932458937,2.4927567210397683e-05,-8.661209722049534e-05,12.945359
0.002916666666666667,9.407183824805543e-06,0.00037982885260134935,2.6877141863224097e-05,-9.233345917891711e-05,12.945359
0.003125,9.903998943627812e-06,0.00040265967254526913,2.9089220333844423e-05,-9.80606782832183e-05,12.945359
0.0033333333333333335,1.0395816389063839e-05,0.0004251270438544452,3.1089810363482684e-05,-0.00010333873797208071,12.945359
0.003541666666666667,1.0884897164942231e-05,0.00044741632882505655,3.2998872484313324e-05,-0.00010874171857722104,12.945359
0.0037500000000000003,1.1372992048563901e-05,0.0004693748487625271,3.475604171399027e-05,-0.00011378349154256284,12.945359
0.003958333333333334,1.1855246157210786e-05,0.0004910972202196717,3.660980655695312e-05,-0.00011908416490769014,12.945359
0.004166666666666667,1.2335972314758692e-05,0.0005129112396389246,3.8515318010468036e-05,-0.00012441891885828227,12.945359
0.0043749999999999995,1.2812402928830124e-05,0.0005343399243429303,4.051381256431341e-05,-0.0001297170529142022,12.945359
0.0045833333333333325,1.328179132542573e-05,0.00055547000374645,4.2602438043104485e-05,-0.0001347864599665627,12.945359
0.004791666666666665,1.3750571270065848e-05,0.0005765403620898724,4.492014704737812e-05,-0.00014023824769537896,12.945359
0.004999999999999998,1.4219222066458315e-05,0.0005974030937068164,4.7129447921179235e-05,-0.00014545134035870433,12.945359
0.005208333333333331,1.4684286725241691e-05,0.0006187700782902539,4.9242182285524905e-05,-0.00015063736645970494,12.945359
0.005416666666666664,1.5139510651351884e-05,0.0006390315829776227,5.11965699843131e-05,-0.00015564719797112048,12.945359
0.005624999999999997,1.5592926501994953e-05,0.0006593236466869712,5.3241801651893184e-05,-0.00016074390441644937,12.945359
0.00583333333333333,1.6048517863964662e-05,0.0006797051173634827,5.5643966334173456e-05,-0.00016573183529544622,12.945359
0.006041666666666663,1.649570549488999e-05,0.0006998787866905332,5.799300197395496e-05,-0.00017098225362133235,12.945359
0.006249999999999996,1.6939095075940713e-05,0.0007197826635092497,6.00870989728719e-05,-0.00017585017485544086,12.945359
0.006458333333333329,1.737827915349044e-05,0.0007396852597594261,6.242609379114583e-05,-0.00018071926024276763,12.945359
0.006666666666666662,1.781799983291421e-05,0.000759739545173943,6.478702562162653e-05,-0.0001859139301814139,12.945359
0.006874999999999995,1.8252816516906023e-05,0.0007791356183588505,6.70976733090356e-05,-0.0001906336983665824,12.945359
0.007083333333333328,1.86833567568101e-05,0.0007984471158124506,6.958281301194802e-05,-0.00019567650451790541,12.945359
0.007291666666666661,1.9107870684820227e-05,0.0008177572162821889,7.20424868632108e-05,-0.00020051540923304856,12.945359
0.007499999999999994,1.9531718862708658e-05,0.0008362912922166288,7.429208199027926e-05,-0.00020513965864665806,12.945359
0.007708333333333327,1.9954086383222602e-05,0.0008545547025278211,7.686014578212053e-05,-0.00020962425332982093,12.945359
